eBird species code 2019,English name,scientific name,range,eBird species group
amekes5,American Kestrel (Cuban),Falco sparverius sparverioides,"Bahamas, Cuba and Isle of Pines",Falcons and Caracaras
amekes6,American Kestrel (Juan Fernandez),Falco sparverius fernandensis,Robinson Crusoe I. (Juan Fernández Islands off Chile),Falcons and Caracaras
amekes7,American Kestrel (Southeastern),Falco sparverius paulus,Coastal s US to Florida,Falcons and Caracaras
ameoys,American Oystercatcher,Haematopus palliatus,,Shorebirds
amepip,American Pipit,Anthus rubescens,,Wagtails and Pipits
amepip2,American Pipit (rubescens Group),Anthus rubescens [rubescens Group],,Wagtails and Pipits
amered,American Redstart,Setophaga ruticilla,Alaska to s US; winters s US to n South America and West Indies,Wood-Warblers
amerob,American Robin,Turdus migratorius,,Thrushes
amerob1,American Robin (migratorius Group),Turdus migratorius [migratorius Group],,Thrushes
amerob2,American Robin (San Lucas),Turdus migratorius confinis,Mountains of s Baja California (Sierra de la Laguna),Thrushes
amerob3,American Robin (nigrideus),Turdus migratorius nigrideus,E Canada (n Quebec and Labrador) to Gulf Coast of US,Thrushes
amesun2,Amethyst Sunbird,Chalcomitra amethystina,,Sunbirds and Spiderhunters
amewig,American Wigeon,Mareca americana,Alaska to s US; winters to nw South America,Waterfowl
amewoo,American Woodcock,Scolopax minor,Breeds e Canada and US; winters to Gulf Coast,Shorebirds
amewoo1,Amethyst Woodstar,Calliphlox amethystina,Widespread trop. South America to ne Argentina and s Brazil,Hummingbirds
amgplo,American Golden-Plover,Pluvialis dominica,"breeds Alaska and northern Canada; winters in southern South America, primarily in eastern Argentina and adjacent Paraguay and southern Brazil",Shorebirds
amhgul1,Herring Gull (American),Larus argentatus smithsonianus,N North America (Alaska to Atlantic coast); winters to C America,"Gulls, Terns, and Skimmers"
ammoma1,Ammomanes sp.,Ammomanes sp.,,Larks
ammosp1,Ammospiza sp.,Ammospiza sp.,,New World Sparrows
ammrot1,Forest Rock-Thrush (Amber Mountain),Monticola sharpei erythronotus,Highland forest of northernmost Madagascar (Montagne d'Ambre),Old World Flycatchers
ampkin1,American Pygmy Kingfisher,Chloroceryle aenea,,Kingfishers
amptap1,Ampay Tapaculo (undescribed form),Scytalopus [undescribed Ampay form],Andes of s-central Peru (Apurímac),Tapaculos
amsfly1,Amazonian Scrub-Flycatcher,Sublegatus obscurior,"E Colombia to s Venezuela, Guianas, n Bolivia, Amaz. Brazil","Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
amthum1,Amethyst-throated Mountain-gem,Lampornis amethystinus,,Hummingbirds
amthum2,Amethyst-throated Mountain-gem (Amethyst-throated),Lampornis amethystinus [amethystinus Group],,Hummingbirds
amthum3,Amethyst-throated Mountain-gem (Violet-throated),Lampornis amethystinus margaritae,"Mountains of sw Mexico (Michoacán, Guerrero and w Oaxaca)",Hummingbirds
amtspa,American Tree Sparrow,Spizelloides arborea,,New World Sparrows
amtsun1,Amethyst-throated Sunangel,Heliangelus amethysticollis,,Hummingbirds
amtsun2,Amethyst-throated Sunangel (Longuemare's),Heliangelus amethysticollis clarisse/violiceps,,Hummingbirds
amtsun3,Amethyst-throated Sunangel (Amethyst-throated),Heliangelus amethysticollis [amethysticollis Group],,Hummingbirds
amtsun4,Amethyst-throated Sunangel (Merida),Heliangelus amethysticollis spencei,Andes of nw Venezuela (Mérida),Hummingbirds
amufal1,Amur Falcon,Falco amurensis,Steppes of ne Asia; winters from Malawi to South Africa,Falcons and Caracaras
amupaf1,Amur Paradise-Flycatcher,Terpsiphone incei,"breeds China, Manchuria and Japan; winters to Thailand, Indochina, the Thai-Malay Peninsula, and Sumatra",Monarch Flycatchers
amwpel,American White Pelican,Pelecanus erythrorhynchos,S Canada to s US; winters to Costa Rica,Pelicans
anabac1,Anabacerthia sp.,Anabacerthia sp.,,Ovenbirds
anaire1,Anairetes sp.,Anairetes sp.,,"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
anas1,Anas sp.,Anas sp.,,Waterfowl
anawax1,Anambra Waxbill,Estrilda poliopareia,S Nigeria (Niger River delta to Benin border),Estrildids
anbtyr1,Antioquia Bristle-Tyrant,Phylloscartes lanyoni,Central Andes of n Colombia (Antioquia and e Caldas),"Tyrant Flycatchers: Elaenias, Tyrannulets, and Allies"
anbwar1,Anjouan Brush-Warbler,Nesillas longicaudata,Forest undergrowth of Anjouan (Comoro Islands),Reed Warblers and Allies
ancant1,Ancient Antwren,Herpsilochmus gentryi,Sandy soil forests in extreme se Ecuador and n Peru,Antbirds
ancbar1,Anchieta's Barbet,Stactolaema anchietae,,Barbets and Toucans
anccha1,Angola Cave-Chat,Xenocopsychus ansorgei,Rocky caves and gorges of w Angola,Old World Flycatchers
ancdov1,Andaman Cuckoo-Dove,Macropygia rufipennis,Andaman and Nicobar islands,Pigeons and Doves
anchum1,Antillean Crested Hummingbird,Orthorhyncus cristatus,,Hummingbirds
anchum2,Antillean Crested Hummingbird (Lesser Antilles),Orthorhyncus cristatus exilis,"E Puerto Rico, Virgin Islands and Lesser Antilles to St. Lucia",Hummingbirds
anchum3,Antillean Crested Hummingbird (St. Vincent),Orthorhyncus cristatus ornatus,St. Vincent (Lesser Antilles),Hummingbirds
anchum4,Antillean Crested Hummingbird (Barbados),Orthorhyncus cristatus cristatus,Barbados (Lesser Antilles),Hummingbirds
anchum5,Antillean Crested Hummingbird (Grenadines and Grenada),Orthorhyncus cristatus emigrans,Lesser Antilles (Grenadines and Grenada),Hummingbirds
ancmur,Ancient Murrelet,Synthliboramphus antiquus,,Alcids
ancsun1,Anchieta's Sunbird,Anthreptes anchietae,"Angola to se Democratic Republic of the Congo, Zambia, sw Tanzania, Malawi, n Mozambique",Sunbirds and Spiderhunters
anctap1,Ancash Tapaculo,Scytalopus affinis,Western Andes of Peru (s Cajamarca to Ancash),Tapaculos
andavo1,Andean Avocet,Recurvirostra andina,Andes of s Peru to nw Argentina and n Chile,Shorebirds
andbul1,Andaman Bulbul,Brachypodius fuscoflavescens,Andaman Islands,Bulbuls
andcon1,Andean Condor,Vultur gryphus,Andes and coasts of Colombia to Tierra del Fuego,"Vultures, Hawks, and Allies"
andcot1,Andean Cock-of-the-rock,Rupicola peruvianus,,Cotingas
andcou1,Andaman Coucal,Centropus andamanensis,"Andaman Islands and adj. Table, Great and Little Coco islands",Cuckoos
andcra1,Andaman Crake,Rallina canningi,Andaman Islands,"Rails, Gallinules, and Allies"
andcus1,Andaman Cuckooshrike,Coracina dobsoni,Andaman Islands,Cuckooshrikes
anddro1,Andaman Drongo,Dicrurus andamanensis,,Drongos
andduc1,Andean Duck,Oxyura ferruginea,,Waterfowl
andduc2,Andean Duck (andina),Oxyura ferruginea andina,Central and Eastern Andes of Colombia,Waterfowl
andeme1,Andean Emerald,Amazilia franciae,,Hummingbirds
andfla2,Andean Flamingo,Phoenicoparrus andinus,High Andes of s Peru to nw Argentina and n Chile,Flamingos
andfli1,Andean Flicker,Colaptes rupicola,,Woodpeckers
andfli2,Andean Flicker (Northern),Colaptes rupicola cinereicapillus,Andean grasslands of extreme s Ecuador and n Peru,Woodpeckers
andfli3,Andean Flicker (Southern),Colaptes rupicola rupicola/puna,,Woodpeckers
andflo1,Andaman Flowerpecker,Dicaeum virescens,South and Middle Andaman Islands,Flowerpeckers
andgoo1,Andean Goose,Oressochen melanopterus,Andes of s Peru to nw Argentina and central Chile,Waterfowl
andgua1,Andean Guan,Penelope montagnii,,"Chachalacas, Guans, and Curassows"
andgul1,Andean Gull,Chroicocephalus serranus,Andean lakes of Ecuador to n Argentina and central Chile,"Gulls, Terns, and Skimmers"
andhao1,Andaman Boobook,Ninox affinis,Andaman Islands,Owls
andhil2,Green-headed Hillstar,Oreotrochilus stolzmanni,"Andes of n and c Peru (Cajamarca, Huánuco) and adj. s Ecuador",Hummingbirds
andhil3,Andean Hillstar,Oreotrochilus estella,,Hummingbirds
andlap1,Andean Lapwing,Vanellus resplendens,Andes of sw Colombia to nw Argentina and n Chile,Shorebirds
andneg1,Andean Negrito,Lessonia oreas,Andes of Peru (Huánuco) to n Chile and nw Argentina,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
andnig1,Andaman Nightjar,Caprimulgus andamanicus,Andaman Islands,Nightjars
andpar1,Andean Parakeet,Bolborhynchus orbygnesius,Andes of Peru and w Bolivia,"Parrots, Parakeets, and Allies"
andpot1,Andean Potoo,Nyctibius maculosus,Locally in Andes of e Colombia to w Venezuela and w Bolivia,Potoos and Oilbird
andsha1,Andaman Shama,Copsychus albiventris,Andaman Islands,Old World Flycatchers
andsis1,Andean Siskin,Spinus spinescens,,"Finches, Euphonias, and Allies"
andsni1,Jameson's Snipe,Gallinago jamesoni,Andes of Colombia to w Venezuela and e Bolivia,Shorebirds
andsol1,Andean Solitaire,Myadestes ralloides,,Thrushes
andsol2,Andean Solitaire (plumbeiceps),Myadestes ralloides plumbeiceps,W and central Andes of Colombia and w Ecuador,Thrushes
andsol3,Andean Solitaire (venezuelensis/candelae),Myadestes ralloides venezuelensis/candelae,,Thrushes
andsol4,Andean Solitaire (ralloides),Myadestes ralloides ralloides,Central Peru (La Libertad and Huánuco) to n Bolivia,Thrushes
andswa2,Andean Swallow,Orochelidon andecola,,Martins and Swallows
andswi1,Andean Swift,Aeronautes andecolus,,Swifts
andtea1,Andaman Teal,Anas albogularis,Andaman Islands and Great Coco I.,Waterfowl
andtea2,Andean Teal (Merida),Anas andium altipetens,northern Eastern Andes of Colombia and Andes of Venezuela,Waterfowl
andtea3,Andean Teal (Andean),Anas andium andium,Central and southern Eastern Andes of Colombia and Andes of Ecuador,Waterfowl
andtin1,Andean Tinamou,Nothoprocta pentlandii,,Tinamous
andtre1,Andaman Treepie,Dendrocitta bayleii,Dense forests of Andaman Islands,"Jays, Magpies, Crows, and Ravens"
andtyr1,Jelski's/Plumbeous Black-Tyrant,Knipolegus signatus/cabanisi,,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
andtyr2,Plumbeous Black-Tyrant,Knipolegus cabanisi,Andes of se Peru (Cuzco) to w Bolivia and n Argentina,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
andtyr3,Jelski's Black-Tyrant,Knipolegus signatus,east slope of Andes from southeastern Ecuador (Zamora-Chinchipe) south to central Peru (to Junín),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
andwoo1,Andaman Woodpecker,Dryocopus hodgei,High evergreen forests of Andaman Islands,Woodpeckers
angbat1,Angola Batis,Batis minulla,"Forests of se Gabon to w Angola, Cabinda and adjacent Democratic Republic of the Congo",Wattle-eyes and Batises
anghel1,Angola Helmetshrike,Prionops gabela,W Angola (Gabela escarpment),"Vangas, Helmetshrikes, and Allies"
anglar1,Angola Lark,Mirafra angolensis,,Larks
angpet1,Southern Giant-Petrel,Macronectes giganteus,Circumpolar southern oceans south to the pack ice,"Petrels, Shearwaters, and Diving-Petrels"
angslf1,Angola Slaty-Flycatcher,Melaenornis brunneus,,Old World Flycatchers
angswa1,Angola Swallow,Hirundo angolensis,"Uganda to w Kenya, Tanzania, Zambia, Malawi, Angola, Gabon",Martins and Swallows
anhing,Anhinga,Anhinga anhinga,,Cormorants and Anhingas
aniani,Anianiau,Magumma parva,Humid montane forests of Kauai,"Finches, Euphonias, and Allies"
anjsun2,Anjouan Sunbird,Cinnyris comorensis,Anjouan I. (Comoro Is.),Sunbirds and Spiderhunters
anjwhe1,Anjouan White-eye,Zosterops anjuanensis,Anjouan (Comoro Islands),"White-eyes, Yuhinas, and Allies"
ankser2,Ankober Serin,Crithagra ankoberensis,Montane scrub of central Ethiopia,"Finches, Euphonias, and Allies"
annhum,Anna's Hummingbird,Calypte anna,Arid sw British Columbia to nw Baja; winters to n Mexico,Hummingbirds
anpowl1,Andean Pygmy-Owl,Glaucidium jardinii,"Mountains of n Colombia to w Venezuela, Ecuador and Peru",Owls
anpswi,Antillean Palm-Swift,Tachornis phoenicobia,,Swifts
anseag1,Andaman Serpent-Eagle,Spilornis elgini,Forests of Andaman Islands,"Vultures, Hawks, and Allies"
anser1,Anser sp.,Anser sp.,,Waterfowl
ansgre1,Ansorge's Greenbul,Eurillas ansorgei,,Bulbuls
ansowl1,Andaman Scops-Owl,Otus balli,Andaman Islands,Owls
ansowl2,Anjouan Scops-Owl,Otus capnodes,Anjouan (Comoro Islands),Owls
antant1,Urrao Antpitta,Grallaria urraoensis,northern part of Western Andes of Colombia (Antioquia),Gnateaters and Antpittas
antbir1,antbird sp.,Thamnophilidae sp. (antbird sp.),,Antbirds
antbrf1,Antioquia Brushfinch,Atlapetes blancae,n Central Andes of Colombia (Antioquia),New World Sparrows
anteup1,Antillean Euphonia,Euphonia musica,,"Finches, Euphonias, and Allies"
anteup2,Antillean Euphonia (Hispaniolan),Euphonia musica musica,Hispaniola and Gonâve I.,"Finches, Euphonias, and Allies"
anteup3,Antillean Euphonia (Puerto Rican),Euphonia musica sclateri,Puerto Rico,"Finches, Euphonias, and Allies"
anteup4,Antillean Euphonia (Lesser),Euphonia musica flavifrons,Lesser Antilles,"Finches, Euphonias, and Allies"
antman1,Antillean Mango,Anthracothorax dominicus,,Hummingbirds
antman2,Antillean Mango (Hispaniolan),Anthracothorax dominicus dominicus,"Hispaniola, Île-á-Vache, Tortue, Gonâve and Beata islands",Hummingbirds
antman3,Antillean Mango (Puerto Rican),Anthracothorax dominicus aurulentus,"Puerto Rico, Culebra I., Vieques I. and Virgin Islands",Hummingbirds
antnig,Antillean Nighthawk,Chordeiles gundlachii,,Nightjars
antpar1,Antipodes Parakeet,Cyanoramphus unicolor,Locally in Antipodes Islands,"Parrots, Parakeets, and Allies"
antpet1,Antarctic Petrel,Thalassoica antarctica,Breeds Antarctic islands and coasts; ranges southern oceans,"Petrels, Shearwaters, and Diving-Petrels"
antpic1,Antillean Piculet,Nesoctites micromegas,,Woodpeckers
antros1,Antrostomus sp.,Antrostomus sp.,,Nightjars
antsha1,Antarctic Shag,Phalacrocorax bransfieldensis,South Shetland Islands and Antarctic Peninsula,Cormorants and Anhingas
antshr1,antshrike sp.,Thamnophilidae sp. (antshrike sp.),,Antbirds
antsis1,Antillean Siskin,Spinus dominicensis,Montane pine forests of Hispaniola,"Finches, Euphonias, and Allies"
antspi1,Andean Tit-Spinetail,Leptasthenura andicola,,Ovenbirds
ant-ta1,ant-tanager sp.,Habia sp.,,"Cardinals, Grosbeaks, and Allies"
antter1,Antarctic Tern,Sterna vittata,,"Gulls, Terns, and Skimmers"
antter2,Antarctic Tern (Antarctic),Sterna vittata [vittata Group],,"Gulls, Terns, and Skimmers"
antter3,Antarctic Tern (South Georgia),Sterna vittata georgiae,South Georgia I.; possibly S Orkney and S Sandwich islands,"Gulls, Terns, and Skimmers"
antthr1,antthrush sp.,Formicarius/Chamaeza sp.,,Antthrushes
antvir1,antvireo sp.,Dysithamnus sp.,,Antbirds
antwre1,antwren sp.,Thamnophilidae sp. (antwren sp.),,Antbirds
antwre2,Antioquia Wren,Thryophilus sernai,"arid Cauca Valley, Antioquia, Colombia",Wrens
anweye1,Annobon White-eye,Zosterops griseovirescens,Annobón (Gulf of Guinea),"White-eyes, Yuhinas, and Allies"
anwpig1,Andaman Wood-Pigeon,Columba palumboides,Andaman Islands and Nicobar Islands,Pigeons and Doves
apalis1,Apalis sp.,Apalis sp.,,Cisticolas and Allies
apapan,Apapane,Himatione sanguinea,"Kauai, Oahu, Molokai, Maui, and Hawaii (Hawaiian Islands)","Finches, Euphonias, and Allies"
apbsun2,Apricot-breasted Sunbird,Cinnyris buettikoferi,Lowlands of Sumba I. (w Lesser Sundas),Sunbirds and Spiderhunters
apifly1,Apical Flycatcher,Myiarchus apicalis,Arid scrub of Colombia (west of the Eastern Andes),"Tyrant Flycatchers: Pewees, Kingbirds, and Allies"
aplfal,Aplomado Falcon,Falco femoralis,,Falcons and Caracaras
aploni1,Aplonis sp.,Aplonis sp.,,Starlings and Mynas
apomyn2,Apo Myna,Goodfellowia miranda,Montane forests of Mindanao (s Philippines),Starlings and Mynas
apostl1,Apostlebird,Struthidea cinerea,,White-winged Chough and Apostlebird
apowre1,Apolinar's Wren,Cistothorus apolinari,,Wrens
apptet1,Appert's Tetraka,Xanthomixis apperti,SW Madagascar (Zombitse and Vohibasia forests),Malagasy Warblers
apubrf1,Apurimac Brushfinch,Atlapetes forbesi,"Andes of s-central Peru (Apurímac, Cuzco and Puno)",New World Sparrows
apus1,Apus sp.,Apus sp.,,Swifts
apusco1,Koepcke's Screech-Owl (Apurimac),Megascops koepckeae hockingi,interAndean valleys of central Peru,Owls
apuspi1,Apurimac Spinetail,Synallaxis courseni,Andes of s Peru (Bosque de Ampay region of Apurímac),Ovenbirds
aputap1,Ayacucho Tapaculo (undescribed form),Scytalopus [undescribed Ayacucho form],east slope of Andes of south central Peru (Apurímac Valley in Ayacucho),Tapaculos
aquila1,Aquila sp.,Aquila sp.,,"Vultures, Hawks, and Allies"
aquwar1,Aquatic Warbler,Acrocephalus paludicola,Mainly open marshes of w Palearctic; winters in Africa,Reed Warblers and Allies
arabab1,Arabian Babbler,Turdoides squamiceps,,Laughingthrushes and Allies
arabus1,Arabian Bustard,Ardeotis arabs,,Bustards
aracar1,aracari sp.,Pteroglossus sp.,,Barbets and Toucans
arafan1,Arafura Fantail,Rhipidura dryas,,Fantails
arafan2,Arafura Fantail (Supertramp),Rhipidura dryas [semicollaris Group],,Fantails
arafan3,Arafura Fantail (Arafura),Rhipidura dryas dryas,Coastal n Australia (Kimberley to w Cape York Pen.),Fantails
araman1,Araripe Manakin,Antilophia bokermanni,E Brazil (Chapada do Araripe in Ceará),Manakins
arapar1,Arabian Partridge,Alectoris melanocephala,Arid regions of s Arabian Peninsula,"Grouse, Quail, and Allies"
arasco1,Arabian Scops-Owl,Otus pamelae,"southern Arabian Peninsula, from southwestern Saudi Arabia to Oman",Owls
aratin,large parakeet sp. (former Aratinga sp.),Eupsittula/Aratinga/Thectocercus/Psittacara sp.,,"Parrots, Parakeets, and Allies"
arawax1,Arabian Waxbill,Estrilda rufibarba,SW Arabian Peninsula,Estrildids
arawoo1,Arabian Woodpecker,Dendrocoptes dorae,Southwest Saudi Arabian Peninsula,Woodpeckers
arboro1,Arborophila sp.,Arborophila sp.,,"Grouse, Quail, and Allies"
arcbow1,Archbold's Bowerbird,Archboldia papuensis,,Scrub-birds and Bowerbirds
arcbuz1,Archer's Buzzard,Buteo archeri,Highlands of n Somalia,"Vultures, Hawks, and Allies"
archil1,Ruby-throated/Black-chinned Hummingbird,Archilochus colubris/alexandri,,Hummingbirds
arcloo,Arctic Loon,Gavia arctica,,Loons
arcnew1,Archbold's Newtonia,Newtonia archboldi,Subdesert of sw Madagascar,"Vangas, Helmetshrikes, and Allies"
arcnig1,Archbold's Nightjar,Eurostopodus archboldi,highlands of New Guinea,Nightjars
arcroc1,Archer's Robin-Chat (Archer's),Cossypha archeri archeri,"Montane forests of e Democratic Republic of the Congo to Rwanda, Burundi and sw Uganda",Old World Flycatchers
arcroc2,Archer's Robin-Chat (Kabobo),Cossypha archeri kimbutui,Montane forests of se Democratic Republic of the Congo (Mt. Kabobo),Old World Flycatchers
arcter,Arctic Tern,Sterna paradisaea,Arctic circumpolar; winters sub-Antarctic and Antarctic seas,"Gulls, Terns, and Skimmers"
arcwar,Japanese Leaf/Arctic/Kamchatka Leaf Warbler,Phylloscopus xanthodryas/borealis/examinandus,,Leaf Warblers
arcwar1,Arctic Warbler,Phylloscopus borealis,"breeds from northern Scandanvia east Siberia (excluding the Kamchatka Peninsula) and western Alaska, south to south central Siberia, northern Mongolia, and northeastern China (northeastern Nei Mongol and Heilongjiang); winters from southeast Asia (Myanmar east to Vietnam), southeastern China (Fujian, northern Guangdong) and Taiwan south to the Philippines and Wallacea",Leaf Warblers
